date,channel,campaign,impression,clicks,spend,attributed_revenue,ctr,cpc,roas
2025-05-16,facebook,facebook - asc - c01,124603,1888,1442.28,4706.23,0.015152123143102493,0.7639194915254237,3.2630487838699835
2025-05-16,facebook,facebook - asc - c05,190797,2493,2049.84,5157.01,0.013066243179924213,0.8222382671480145,2.5158109901260586
2025-05-16,facebook,facebook - asc - c06,124397,1801,1572.79,4893.58,0.014477841105492897,0.8732870627429206,3.111400759160473
2025-05-16,facebook,facebook - asc - c07,134316,1988,1040.64,2729.69,0.014800917239941631,0.5234607645875252,2.623087715252152
2025-05-16,facebook,facebook - asc - c10,107346,1323,1439.2,3583.48,0.012324632496786093,1.0878306878306878,2.489911061700945
2025-05-16,facebook,facebook - prospecting - c02,256350,2838,3181.96,8346.97,0.01107080163838502,1.1211980267794222,2.623216508064212
2025-05-16,facebook,facebook - prospecting - c03,167543,2060,1186.48,2750.87,0.012295351044209547,0.5759611650485437,2.3185135864068505
2025-05-16,facebook,facebook - prospecting - c04,136939,2235,1076.66,2925.58,0.01632113568815312,0.48172706935123044,2.7172737911689855
2025-05-16,facebook,facebook - prospecting - c08,107525,1486,893.64,2245.2,0.013820041850732387,0.6013728129205922,2.5124211091714783
2025-05-16,facebook,facebook - prospecting - c09,126087,1526,1557.18,3436.98,0.012102754447326053,1.02043250327654,2.2071822140022346
2025-05-16,google,google - display - c01,73152,3250,365.01,1131.27,0.04442804024496938,0.11231076923076923,3.0992849510972302
2025-05-16,google,google - display - c07,206052,9036,719.24,2028.47,0.04385300797856852,0.07959716688800354,2.8202964240031143
2025-05-16,google,google - display - c08,147856,6721,968.11,3605.04,0.045456390001082134,0.14404255319148937,3.7237917178832984
2025-05-16,google,google - display - c09,156186,7587,1424.31,3911.18,0.048576697015097384,0.18773032819296165,2.7460173698141555
2025-05-16,google,google - non-branded search - c02,339732,16199,2443.92,8742.81,0.04768170204749626,0.15086857213408236,3.5773715997250317
2025-05-16,google,google - non-branded search - c03,161711,7573,935.27,3435.86,0.04683045680256755,0.12350059421629472,3.6736557357768347
2025-05-16,google,google - non-branded search - c04,248831,11928,1527.23,4424.44,0.04793614943475692,0.12803739101274314,2.8970358099303968
2025-05-16,google,google - non-branded search - c05,109972,5416,758.04,2196.81,0.049248899719928706,0.13996307237813885,2.898013297451322
2025-05-16,google,google - non-branded search - c06,294418,1139,2621.05,3787.37,0.0038686493352987927,2.301185250219491,1.4449819728734665
2025-05-16,google,google - non-branded search - c10,295552,14599,907.29,3159.27,0.049395707016024255,0.06214740735666826,3.482095030254935
2025-05-16,tiktok,tiktok - retargeting - c01,67236,1018,821.74,2232.18,0.015140698435362008,0.8072102161100196,2.716406649305133
2025-05-16,tiktok,tiktok - retargeting - c02,85543,1439,637.54,1897.52,0.016821949195141624,0.44304378040305764,2.976315211594567
2025-05-16,tiktok,tiktok - retargeting - c03,83856,1132,776.06,1839.44,0.013499332188513643,0.6855653710247349,2.3702291059969594
2025-05-16,tiktok,tiktok - retargeting - c07,195249,3184,1527.46,4376.35,0.01630738185598902,0.47972989949748746,2.8651159441163765
2025-05-16,tiktok,tiktok - retargeting - c10,164690,2495,1569.87,4426.16,0.015149675147246341,0.6292064128256513,2.8194436482001697
2025-05-16,tiktok,tiktok - spark ads - c04,154158,1926,780.74,2075.94,0.012493675320126104,0.4053686396677051,2.6589389553500524
2025-05-16,tiktok,tiktok - spark ads - c05,137410,1917,1601.41,3688.88,0.013950949712539117,0.8353729786124153,2.303520022979749
2025-05-16,tiktok,tiktok - spark ads - c06,201146,3467,1215.7,3875.08,0.01723623636562497,0.35064897605999423,3.1875298182117295
2025-05-16,tiktok,tiktok - spark ads - c08,176280,2979,1460.98,4224.81,0.016899251191286588,0.49042631755622695,2.8917644320935265
2025-05-16,tiktok,tiktok - spark ads - c09,166545,2680,1605.62,4447.38,0.016091746975291962,0.5991119402985075,2.7698832849615727
2025-05-17,facebook,facebook - asc - c01,139596,2086,1235.47,3674.32,0.014943121579414883,0.5922674976030681,2.9740260791439694
2025-05-17,facebook,facebook - asc - c05,138822,1762,1644.99,3362.75,0.012692512714123121,0.9335925085130533,2.0442373509869363
2025-05-17,facebook,facebook - asc - c06,233465,3309,2501.39,6166.24,0.014173430706958217,0.7559353278936234,2.465125390283003
2025-05-17,facebook,facebook - asc - c07,104422,1446,674.72,2193.34,0.013847656624083047,0.46661134163208856,3.250741048138487
2025-05-17,facebook,facebook - asc - c10,170898,2062,1703.57,3766.35,0.012065676602417816,0.8261736178467507,2.2108571998802513
2025-05-17,facebook,facebook - prospecting - c02,136012,1673,1554.35,4034.35,0.012300385260124107,0.9290794979079497,2.5955222440248336
2025-05-17,facebook,facebook - prospecting - c03,129769,1570,1423.57,3917.57,0.01209842104046421,0.906732484076433,2.7519335192508976
2025-05-17,facebook,facebook - prospecting - c04,182930,2567,1286.11,3202.96,0.014032690100038266,0.5010167510712894,2.490424613757766
2025-05-17,facebook,facebook - prospecting - c08,128412,1747,1566.71,3905.03,0.01360464754072828,0.8968002289639382,2.49250339884216
2025-05-17,facebook,facebook - prospecting - c09,313073,3555,3619.96,8472.66,0.011355179143522437,1.0182728551336147,2.340539674471541
2025-05-17,google,google - display - c01,111930,5259,1128.02,3589.82,0.046984722594478695,0.21449324966723712,3.182408113331324
2025-05-17,google,google - display - c07,172805,7156,1673.68,5449.0,0.04141083880674749,0.2338848518725545,3.2557000143396584
2025-05-17,google,google - display - c08,217731,9083,1919.56,6451.6,0.04171661361955808,0.21133546185181107,3.360978557586114
